method,comparison,plddt,pae,pct_tm_cons,pct_nontm_cons,or_tm_cons,pct_dd_in_cons,pct_dd_in_tm,fold_dd_tm,fold_dd_cons,fold_dd_both,n_dd,pct_residues_cons
AIC (no pLDDT/PAE),AIC,none,none,47.312895618716645,17.81802249160216,4.141830118364903,65.96958174904944,32.129277566539926,2.2325800345541817,2.9901012012648005,4.355774640020108,526,22.0626585217733
AIC weight (no pLDDT/PAE),AIC weight,none,none,47.28807248355467,17.4508126603935,4.24365295918226,65.5893536121673,32.129277566539926,2.2325800345541817,3.016334443347132,4.358061135894135,526,21.744721894759405
"AIC weight, PAE exclude_center",AIC weight,none,exclude_center,34.34280749658682,22.055540486970308,1.8485067128225936,61.78707224334601,32.129277566539926,2.2325800345541817,2.5935005447713073,5.269933119973176,526,23.823813096131175
"AIC weight, PAE exclude_region",AIC weight,none,exclude_region,34.18145711803401,23.566108201715036,1.684381313140799,52.09125475285171,32.129277566539926,2.2325800345541817,2.0758637544260488,4.212658531938335,526,25.09377344336084
"AIC weight, PAE filter_center",AIC weight,none,filter_center,40.30035993545985,16.916689269544534,3.315397718123421,64.82889733840305,32.129277566539926,2.2325800345541817,3.196398631781447,4.98258819782168,526,20.281856178330298
"AIC weight, PAE filter_region",AIC weight,none,filter_region,42.36068015390344,15.326837613970664,4.060105337198867,61.78707224334601,32.129277566539926,2.2325800345541817,3.215178944712306,4.615503905331773,526,19.217304326081518
"AIC weight, PAE truncate_center",AIC weight,none,truncate_center,46.332381779818796,15.694047445179326,4.637624516035725,63.49809885931559,32.129277566539926,2.2325800345541817,3.15860023344082,4.390929119486158,526,20.10324009573822
"AIC weight, pLDDT exclude",AIC weight,exclude,none,42.57167680278019,20.384318471071794,2.8953231433407094,64.06844106463878,32.129277566539926,2.2325800345541817,2.7173755617006567,4.778815860945139,526,23.577322902154112
"AIC weight, pLDDT exclude, PAE exclude_center",AIC weight,exclude,exclude_center,38.8854412312275,21.995034321600702,2.2565239987787815,59.50570342205324,32.129277566539926,2.2325800345541817,2.436187430922905,4.858132306769955,526,24.425749294466474
"AIC weight, pLDDT exclude, PAE exclude_region",AIC weight,exclude,exclude_region,39.97765917835422,25.018256170585655,1.9961948646486243,61.026615969581755,32.129277566539926,2.2325800345541817,2.2460137534006073,4.527135964907103,526,27.17107848390669
"AIC weight, pLDDT exclude, PAE filter_center",AIC weight,exclude,filter_center,43.378428695544244,15.64605979678274,4.130401662790754,62.16730038022814,32.129277566539926,2.2325800345541817,3.1658163353533313,4.629031152597138,526,19.6370521201729
"AIC weight, pLDDT exclude, PAE filter_region",AIC weight,exclude,filter_region,38.83579496090356,12.668739176698868,4.3769461069439455,58.935361216730044,32.129277566539926,2.2325800345541817,3.5860831790890644,5.03442468165463,526,16.43446575929697
"AIC weight, pLDDT exclude, PAE truncate_center",AIC weight,exclude,truncate_center,40.69753009805138,13.22998602098938,4.500964145383525,57.03422053231939,32.129277566539926,2.2325800345541817,3.319249345865315,4.576899662212699,526,17.18286714535777
"AIC weight, pLDDT remove",AIC weight,remove,none,39.679781556410575,13.43445513154875,4.238687281784036,55.13307984790875,32.129277566539926,2.2325800345541817,3.203280000378808,4.594414202478322,526,17.2114457185725
"AIC weight, pLDDT remove, PAE exclude_center",AIC weight,remove,exclude_center,36.81270944520293,12.702121888626927,4.004012840159298,52.09125475285171,32.129277566539926,2.2325800345541817,3.2210967402177557,4.665153103999959,526,16.171900117886615
"AIC weight, pLDDT remove, PAE exclude_region",AIC weight,remove,exclude_region,37.03611766166067,12.969183584051407,3.947247661617857,51.14068441064639,32.129277566539926,2.2325800345541817,3.1121329971896183,4.351657509250859,526,16.432679598471044
