label,model_display,plddt_display,pae_display,n_genes,n_transcripts,total_residues,baseline_total_residues,frac_residues_filtered_out,total_residues_missing_obs,total_residues_missing_exp,frac_residues_missing_obs,frac_residues_missing_exp,n_constraint_regions_mean,n_constraint_regions_median,n_constraint_regions_min,n_constraint_regions_max,region_length_mean,region_length_median,region_length_min,region_length_max,frac_residues_in_null_mean,mean_residues_per_transcript,n_transcripts_all_null,frac_transcripts_all_null
"AIC weight, pLDDT remove, PAE exclude_center",AIC weight,remove,exclude_center,158,158,207838,207838,0.0,97017,97017,0.4667914433356749,0.4667914433356749,3.1265822784810124,3.0,1,9,219.50404858299595,115.0,14,1693,0.01458740293893746,1315.4303797468353,0,0.0
"AIC weight, pLDDT remove, PAE exclude_region",AIC weight,remove,exclude_region,158,158,207838,207838,0.0,96996,96996,0.46669040310241633,0.46669040310241633,2.8354430379746836,2.0,1,16,242.44419642857142,120.0,11,1457,0.013779501729710479,1315.4303797468353,0,0.0
"AIC weight, pLDDT exclude, PAE truncate_center",AIC weight,exclude,truncate_center,158,158,207838,207838,0.0,74493,74493,0.3584185760063126,0.3584185760063126,4.367088607594937,4.0,0,22,57.49130434782609,34.0,8,512,0.46633207047542496,1315.4303797468353,12,0.0759493670886076
"AIC weight, pLDDT exclude, PAE filter_center",AIC weight,exclude,filter_center,158,158,207838,207838,0.0,68013,68013,0.3272404468865174,0.3272404468865174,3.8227848101265822,3.0,0,20,87.79635761589404,40.5,8,1007,0.4387194371536354,1315.4303797468353,10,0.06329113924050633
"AIC weight, pLDDT exclude, PAE filter_region",AIC weight,exclude,filter_region,158,158,207838,207838,0.0,74413,74413,0.35803366083199417,0.35803366083199417,4.0886075949367084,3.0,0,22,64.69195046439629,34.0,8,508,0.45298587748466385,1315.4303797468353,10,0.06329113924050633
"AIC weight, pLDDT exclude, PAE exclude_center",AIC weight,exclude,exclude_center,158,158,207838,207838,0.0,20859,20859,0.10036182026385936,0.10036182026385936,3.1265822784810124,3.0,1,9,324.76720647773277,187.5,14,2115,0.1216772582749361,1315.4303797468353,0,0.0
"AIC weight, pLDDT exclude, PAE exclude_region",AIC weight,exclude,exclude_region,158,158,207838,207838,0.0,235,235,0.001130688324560475,0.001130688324560475,2.829113924050633,2.0,1,16,385.6219239373602,237.0,11,2139,0.16593588084670766,1315.4303797468353,0,0.0
LRT (no pLDDT/PAE),LRT,–,–,158,158,207838,207838,0.0,0,0,0.0,0.0,3.0316455696202533,3.0,0,11,204.29853862212943,90.0,11,2591,0.52251549278066,1315.4303797468353,13,0.08227848101265822
"LRT, PAE truncate_center",LRT,–,truncate_center,158,158,207838,207838,0.0,19395,19395,0.09331787257383155,0.09331787257383155,4.050632911392405,3.0,0,17,68.609375,35.0,10,930,0.7034638627004248,1315.4303797468353,18,0.11392405063291139
"LRT, PAE filter_center",LRT,–,filter_center,158,158,207838,207838,0.0,456,456,0.0021940164936152195,0.0021940164936152195,3.6645569620253164,3.0,0,15,101.61658031088083,38.0,10,1081,0.6985895228198751,1315.4303797468353,14,0.08860759493670886
"LRT, PAE filter_region",LRT,–,filter_region,158,158,207838,207838,0.0,26112,26112,0.1256363128975452,0.1256363128975452,3.6645569620253164,3.0,0,14,77.01554404145078,40.0,10,655,0.647415717257825,1315.4303797468353,19,0.12025316455696203
"LRT, PAE exclude_center",LRT,–,exclude_center,158,158,207838,207838,0.0,61,61,0.0002934978204178254,0.0002934978204178254,5.784810126582278,4.0,1,21,219.0328227571116,71.0,12,2115,0.04620763684876466,1315.4303797468353,0,0.0
"LRT, PAE exclude_region",LRT,–,exclude_region,158,158,207838,207838,0.0,6419,6419,0.0308846312993774,0.0308846312993774,6.246835443037975,4.0,1,29,186.9260385005066,59.0,12,1814,0.08303056852226236,1315.4303797468353,0,0.0
"LRT, pLDDT remove",LRT,remove,–,158,158,207838,207838,0.0,96981,96981,0.4666182315072316,0.4666182315072316,2.1645569620253164,2.0,0,12,145.42105263157896,62.0,12,1100,0.3183372489536291,1315.4303797468353,24,0.1518987341772152
"LRT, pLDDT exclude",LRT,exclude,–,158,158,207838,207838,0.0,0,0,0.0,0.0,2.1645569620253164,2.0,0,12,211.48830409356725,84.0,12,1666,0.6584884716225309,1315.4303797468353,24,0.1518987341772152
"LRT, pLDDT remove, PAE truncate_center",LRT,remove,truncate_center,158,158,207838,207838,0.0,97557,97557,0.4693896207623245,0.4693896207623245,2.4050632911392404,2.0,0,12,85.47105263157894,42.5,12,984,0.3987704029816239,1315.4303797468353,30,0.189873417721519
"LRT, pLDDT remove, PAE filter_center",LRT,remove,filter_center,158,158,207838,207838,0.0,97300,97300,0.4681530807648264,0.4681530807648264,2.2721518987341773,2.0,0,10,100.4874651810585,46.0,12,971,0.38035032051932993,1315.4303797468353,29,0.18354430379746836
"LRT, pLDDT remove, PAE filter_region",LRT,remove,filter_region,158,158,207838,207838,0.0,97645,97645,0.4698130274540748,0.4698130274540748,2.449367088607595,2.0,0,11,79.87855297157623,42.0,11,498,0.3985619751400789,1315.4303797468353,28,0.17721518987341772
"LRT, pLDDT remove, PAE exclude_center",LRT,remove,exclude_center,158,158,207838,207838,0.0,97017,97017,0.4667914433356749,0.4667914433356749,3.0316455696202533,3.0,0,8,225.51148225469728,121.0,14,1693,0.018045497142763284,1315.4303797468353,1,0.006329113924050633
"LRT, pLDDT remove, PAE exclude_region",LRT,remove,exclude_region,158,158,207838,207838,0.0,96996,96996,0.46669040310241633,0.46669040310241633,2.7025316455696204,2.0,0,15,252.97189695550352,129.0,16,1457,0.01793240101640753,1315.4303797468353,2,0.012658227848101266
"LRT, pLDDT exclude, PAE truncate_center",LRT,exclude,truncate_center,158,158,207838,207838,0.0,74493,74493,0.3584185760063126,0.3584185760063126,2.4367088607594938,2.0,0,15,69.9948051948052,43.0,12,512,0.5312039130786661,1315.4303797468353,35,0.22151898734177214
"LRT, pLDDT exclude, PAE filter_center",LRT,exclude,filter_center,158,158,207838,207838,0.0,68013,68013,0.3272404468865174,0.3272404468865174,2.2721518987341773,2.0,0,10,113.22005571030641,54.0,12,1007,0.4975282251012382,1315.4303797468353,29,0.18354430379746836
"LRT, pLDDT exclude, PAE filter_region",LRT,exclude,filter_region,158,158,207838,207838,0.0,74413,74413,0.35803366083199417,0.35803366083199417,2.4430379746835444,2.0,0,12,81.55699481865285,44.0,12,508,0.5036733533098213,1315.4303797468353,30,0.189873417721519
"LRT, pLDDT exclude, PAE exclude_center",LRT,exclude,exclude_center,158,158,207838,207838,0.0,20859,20859,0.10036182026385936,0.10036182026385936,3.0316455696202533,3.0,0,8,333.1294363256785,193.0,14,2115,0.12735230100053166,1315.4303797468353,1,0.006329113924050633
"LRT, pLDDT exclude, PAE exclude_region",LRT,exclude,exclude_region,158,158,207838,207838,0.0,235,235,0.001130688324560475,0.001130688324560475,2.7025316455696204,2.0,0,15,398.20608899297423,244.0,16,2139,0.17717499418718324,1315.4303797468353,2,0.012658227848101266
