label,model_display,plddt_display,pae_display,n_genes,n_transcripts,total_residues,baseline_total_residues,frac_residues_filtered_out,total_residues_missing_obs,total_residues_missing_exp,frac_residues_missing_obs,frac_residues_missing_exp,n_constraint_regions_mean,n_constraint_regions_median,n_constraint_regions_min,n_constraint_regions_max,region_length_mean,region_length_median,region_length_min,region_length_max,frac_residues_in_null_mean,mean_residues_per_transcript,n_transcripts_all_null,frac_transcripts_all_null
AIC (no pLDDT/PAE),AIC,–,–,158,158,207838,207838,0.0,0,0,0.0,0.0,9.158227848101266,9.0,1,29,135.69868693849344,42.0,8,2591,0.06854678509440293,1315.4303797468353,0,0.0
"AIC, PAE truncate_center",AIC,–,truncate_center,158,158,207838,207838,0.0,19395,19395,0.09331787257383155,0.09331787257383155,26.436708860759495,22.5,2,80,29.498204452956667,17.0,8,930,0.30867529559355744,1315.4303797468353,0,0.0
"AIC, PAE filter_center",AIC,–,filter_center,158,158,207838,207838,0.0,456,456,0.0021940164936152195,0.0021940164936152195,29.21518987341772,24.0,2,100,34.00801559792028,18.0,8,1081,0.24183326900598753,1315.4303797468353,0,0.0
"AIC, PAE filter_region",AIC,–,filter_region,158,158,207838,207838,0.0,26112,26112,0.1256363128975452,0.1256363128975452,21.829113924050635,17.0,1,82,33.105827776167004,17.0,8,655,0.30937910147477715,1315.4303797468353,0,0.0
"AIC, PAE exclude_center",AIC,–,exclude_center,158,158,207838,207838,0.0,61,61,0.0002934978204178254,0.0002934978204178254,6.670886075949367,5.0,1,24,192.2571157495256,53.0,10,2115,0.029546008817280436,1315.4303797468353,0,0.0
"AIC, PAE exclude_region",AIC,–,exclude_region,158,158,207838,207838,0.0,6419,6419,0.0308846312993774,0.0308846312993774,7.936708860759493,6.0,1,33,150.22089314194577,37.0,8,1814,0.06310419979666491,1315.4303797468353,0,0.0
"AIC, pLDDT remove",AIC,remove,–,158,158,207838,207838,0.0,96981,96981,0.4666182315072316,0.4666182315072316,7.2025316455696204,6.0,1,28,91.98945518453426,32.0,8,1599,0.035817381464604704,1315.4303797468353,0,0.0
"AIC, pLDDT exclude",AIC,exclude,–,158,158,207838,207838,0.0,0,0,0.0,0.0,7.2025316455696204,6.0,1,28,152.04833040421792,53.0,8,2028,0.17734456829450884,1315.4303797468353,0,0.0
"AIC, pLDDT remove, PAE truncate_center",AIC,remove,truncate_center,158,158,207838,207838,0.0,97557,97557,0.4693896207623245,0.4693896207623245,14.00632911392405,11.0,1,68,41.19023949389968,23.0,8,984,0.09731008437997006,1315.4303797468353,0,0.0
"AIC, pLDDT remove, PAE filter_center",AIC,remove,filter_center,158,158,207838,207838,0.0,97300,97300,0.4681530807648264,0.4681530807648264,12.00632911392405,10.0,1,53,49.83974696889826,24.0,8,971,0.08067060448784065,1315.4303797468353,0,0.0
"AIC, pLDDT remove, PAE filter_region",AIC,remove,filter_region,158,158,207838,207838,0.0,97645,97645,0.4698130274540748,0.4698130274540748,14.430379746835444,12.0,1,67,39.66929824561404,23.0,8,498,0.10092932519921016,1315.4303797468353,0,0.0
"AIC, pLDDT remove, PAE exclude_center",AIC,remove,exclude_center,158,158,207838,207838,0.0,97017,97017,0.4667914433356749,0.4667914433356749,3.329113924050633,3.0,1,9,207.37832699619773,95.5,10,1693,0.01055867308266332,1315.4303797468353,0,0.0
"AIC, pLDDT remove, PAE exclude_region",AIC,remove,exclude_region,158,158,207838,207838,0.0,96996,96996,0.46669040310241633,0.46669040310241633,3.0126582278481013,2.0,1,18,229.42436974789916,102.5,11,1457,0.010474981809254456,1315.4303797468353,0,0.0
"AIC, pLDDT exclude, PAE truncate_center",AIC,exclude,truncate_center,158,158,207838,207838,0.0,74493,74493,0.3584185760063126,0.3584185760063126,16.60126582278481,14.5,1,70,36.9675943576058,24.0,8,512,0.17913407904255368,1315.4303797468353,0,0.0
"AIC, pLDDT exclude, PAE filter_center",AIC,exclude,filter_center,158,158,207838,207838,0.0,68013,68013,0.3272404468865174,0.3272404468865174,12.00632911392405,10.0,1,53,57.761201897733265,30.0,8,1007,0.1503617996203678,1315.4303797468353,0,0.0
"AIC, pLDDT exclude, PAE filter_region",AIC,exclude,filter_region,158,158,207838,207838,0.0,74413,74413,0.35803366083199417,0.35803366083199417,14.0,12.0,1,67,42.83092224231465,26.0,8,508,0.18601492455598406,1315.4303797468353,0,0.0
"AIC, pLDDT exclude, PAE exclude_center",AIC,exclude,exclude_center,158,158,207838,207838,0.0,20859,20859,0.10036182026385936,0.10036182026385936,3.3227848101265822,3.0,1,9,308.1561904761905,168.0,10,2115,0.11526506960282952,1315.4303797468353,0,0.0
"AIC, pLDDT exclude, PAE exclude_region",AIC,exclude,exclude_region,158,158,207838,207838,0.0,235,235,0.001130688324560475,0.001130688324560475,3.0126582278481013,2.0,1,18,366.08193277310926,206.0,11,2139,0.15694386394132723,1315.4303797468353,0,0.0
AIC weight (no pLDDT/PAE),AIC weight,–,–,158,158,207838,207838,0.0,0,0,0.0,0.0,4.348101265822785,4.0,1,15,179.2707423580786,59.0,8,2591,0.40421481812060744,1315.4303797468353,0,0.0
"AIC weight, PAE truncate_center",AIC weight,–,truncate_center,158,158,207838,207838,0.0,19395,19395,0.09331787257383155,0.09331787257383155,6.082278481012659,5.0,0,21,56.471383975026015,27.0,8,930,0.6533353438930346,1315.4303797468353,7,0.04430379746835443
"AIC weight, PAE filter_center",AIC weight,–,filter_center,158,158,207838,207838,0.0,456,456,0.0021940164936152195,0.0021940164936152195,5.651898734177215,4.0,0,25,77.69204927211646,27.0,8,1081,0.6445121288263884,1315.4303797468353,4,0.02531645569620253
"AIC weight, PAE filter_region",AIC weight,–,filter_region,158,158,207838,207838,0.0,26112,26112,0.1256363128975452,0.1256363128975452,5.575949367088608,4.0,0,25,61.94211123723042,29.0,8,655,0.5971430999131164,1315.4303797468353,6,0.0379746835443038
"AIC weight, PAE exclude_center",AIC weight,–,exclude_center,158,158,207838,207838,0.0,61,61,0.0002934978204178254,0.0002934978204178254,6.050632911392405,4.0,1,22,210.2458158995816,66.0,11,2115,0.041189456774989766,1315.4303797468353,0,0.0
"AIC weight, PAE exclude_region",AIC weight,–,exclude_region,158,158,207838,207838,0.0,6419,6419,0.0308846312993774,0.0308846312993774,6.620253164556962,4.0,1,31,177.30879541108987,54.0,12,1814,0.07844054225154609,1315.4303797468353,0,0.0
"AIC weight, pLDDT remove",AIC weight,remove,–,158,158,207838,207838,0.0,96981,96981,0.4666182315072316,0.4666182315072316,3.2658227848101267,3.0,0,14,118.98062015503876,46.0,8,1100,0.25494577043139793,1315.4303797468353,7,0.04430379746835443
"AIC weight, pLDDT exclude",AIC weight,exclude,–,158,158,207838,207838,0.0,0,0,0.0,0.0,3.2658227848101267,3.0,0,14,178.09496124031008,65.0,8,1666,0.5601380405333333,1315.4303797468353,7,0.04430379746835443
"AIC weight, pLDDT remove, PAE truncate_center",AIC weight,remove,truncate_center,158,158,207838,207838,0.0,97557,97557,0.4693896207623245,0.4693896207623245,4.012658227848101,3.0,0,19,68.77129337539432,33.5,8,984,0.3409100109851588,1315.4303797468353,11,0.06962025316455696
"AIC weight, pLDDT remove, PAE filter_center",AIC weight,remove,filter_center,158,158,207838,207838,0.0,97300,97300,0.4681530807648264,0.4681530807648264,3.8227848101265822,3.0,0,20,77.57119205298014,35.0,8,971,0.327805335235537,1315.4303797468353,10,0.06329113924050633
"AIC weight, pLDDT remove, PAE filter_region",AIC weight,remove,filter_region,158,158,207838,207838,0.0,97645,97645,0.4698130274540748,0.4698130274540748,4.2215189873417724,3.0,0,22,63.41379310344828,32.0,8,498,0.3424158739779212,1315.4303797468353,8,0.05063291139240506
